cliente_id,idade,renda_estimada,valor_compra,qtd_parcelas,ja_usou_pix_parcelado_antes,score_credito,inadimplente,estrategia_lembrete,recuperou
CLI1412,41,2455.16,2542.6,2,0,647,0,N/A,0
CLI1413,23,4041.82,957.5,6,1,710,0,N/A,0
CLI1414,42,2962.49,1977.19,3,0,780,0,N/A,0
CLI1415,29,1496.27,1328.72,3,0,300,1,Lembrete simples,0
CLI1416,44,1344.68,569.01,6,1,693,0,N/A,0
CLI1417,52,1765.11,878.46,12,0,537,0,N/A,0
CLI1418,34,1955.96,1315.03,3,0,509,0,N/A,0
CLI1419,59,2653.35,2744.22,3,0,793,0,N/A,0
CLI1420,37,2700.7,331.29,4,0,540,0,N/A,0
CLI1421,52,1714.01,1468.75,2,1,768,1,Lembrete com opção de renegociar,0
CLI1422,28,1582.13,1752.33,4,1,629,0,N/A,0
CLI1423,22,1877.05,1307.9,9,1,428,0,N/A,0
CLI1424,21,2141.51,404.87,2,1,636,0,N/A,0
CLI1425,22,1366.77,1425.11,2,0,807,0,N/A,0
CLI1426,58,4444.21,859.06,3,1,439,0,N/A,0
CLI1427,25,2590.94,2690.71,3,0,639,0,N/A,0
CLI1428,60,1026.66,2018.21,3,0,779,0,N/A,0
CLI1429,20,1822.58,1588.23,3,0,611,1,Lembrete com opção de renegociar,1
CLI1430,57,3621.95,1742.44,12,0,374,0,N/A,0
CLI1431,28,3815.34,189.01,2,0,726,0,N/A,0
CLI1432,26,1881.51,1765.09,4,0,842,0,N/A,0
CLI1433,47,900.0,301.46,3,0,760,0,N/A,0
CLI1434,22,1845.99,2831.52,6,1,650,1,Lembrete com opção de renegociar,1
CLI1435,18,900.0,2309.72,4,0,502,1,Lembrete com opção de renegociar,1
CLI1436,41,5221.69,981.46,6,0,538,0,N/A,0
CLI1437,38,2416.71,2349.71,6,0,714,0,N/A,0
CLI1438,47,1417.29,962.08,2,0,589,0,N/A,0
CLI1439,49,1569.42,1874.53,12,0,696,1,Lembrete com opção de renegociar,0
CLI1440,60,1297.96,2787.35,6,0,600,1,Lembrete com opção de renegociar,0
CLI1441,40,2068.05,2753.37,3,0,530,1,Lembrete com opção de renegociar,1
CLI1442,48,6635.68,588.64,2,0,813,0,N/A,0
CLI1443,18,1270.83,2969.04,3,1,402,0,N/A,0
CLI1444,52,2788.67,725.75,3,1,408,0,N/A,0
CLI1445,38,3006.05,2606.97,12,1,534,0,N/A,0
CLI1446,33,3086.05,394.01,3,0,828,0,N/A,0
CLI1447,38,1833.93,2736.8,12,0,536,1,Lembrete com opção de renegociar,1
CLI1448,35,2035.16,1863.42,4,0,935,0,N/A,0
CLI1449,28,3539.39,2956.85,4,1,414,0,N/A,0
CLI1450,18,1131.34,437.3,2,0,774,0,N/A,0
CLI1451,18,2381.45,2344.24,12,0,847,0,N/A,0
CLI1452,52,4951.95,335.56,2,0,600,0,N/A,0
CLI1453,53,2582.78,1142.4,6,0,525,0,N/A,0
CLI1454,46,2422.42,694.69,6,1,732,0,N/A,0
CLI1455,59,900.0,334.17,2,0,706,0,N/A,0
CLI1456,53,1475.81,65.12,12,1,542,0,N/A,0
CLI1457,39,2293.47,368.77,4,0,350,1,Lembrete com opção de renegociar,0
CLI1458,56,6223.1,1732.69,2,1,475,1,Lembrete com opção de renegociar,0
CLI1459,63,5335.33,68.89,3,1,616,0,N/A,0
CLI1460,42,900.0,1719.07,12,0,580,1,Lembrete simples,0
CLI1461,40,2678.93,2983.99,2,0,807,0,N/A,0
CLI1462,41,1249.45,2576.47,2,1,784,0,N/A,0
CLI1463,46,1583.78,2061.14,3,1,810,0,N/A,0
CLI1464,29,1857.87,704.92,12,0,342,1,Lembrete simples,0
CLI1465,29,1279.72,1875.83,2,1,571,0,N/A,0
CLI1466,40,2725.64,1836.17,12,0,341,1,Lembrete com opção de renegociar,1
CLI1467,46,2017.51,1822.75,9,0,793,1,Lembrete com opção de renegociar,1
CLI1468,54,1130.51,547.0,9,0,482,1,Lembrete simples,0
CLI1469,20,3127.0,774.93,4,0,667,0,N/A,0
CLI1470,47,2182.6,486.75,3,0,396,1,Lembrete com opção de renegociar,0
CLI1471,57,1220.11,2164.87,4,1,522,0,N/A,0
CLI1472,59,1745.98,949.87,9,1,668,1,Lembrete simples,0
CLI1473,60,1324.21,1930.43,3,0,568,1,Lembrete com opção de renegociar,0
CLI1474,26,2043.95,954.26,3,0,717,0,N/A,0
CLI1475,56,2588.14,1414.16,3,0,579,0,N/A,0
CLI1476,44,2626.81,2230.01,2,0,706,0,N/A,0
CLI1477,35,2367.68,1912.46,6,1,826,0,N/A,0
CLI1478,34,3089.1,1225.95,2,0,780,0,N/A,0
CLI1479,25,4226.3,713.9,4,0,691,0,N/A,0
CLI1480,22,1464.13,1662.18,6,0,591,1,Lembrete simples,0
CLI1481,64,1231.05,2287.67,6,0,503,1,Lembrete com opção de renegociar,1
CLI1482,21,1717.94,862.43,9,1,518,0,N/A,0
CLI1483,41,1761.41,2227.32,6,0,908,0,N/A,0
CLI1484,64,1836.27,708.53,9,1,516,0,N/A,0
CLI1485,46,1106.47,1412.83,2,1,688,0,N/A,0
CLI1486,62,900.0,225.6,3,0,743,0,N/A,0
CLI1487,54,2301.62,2597.99,2,1,397,1,Lembrete simples,0
CLI1488,49,3532.13,1208.02,3,1,863,0,N/A,0
CLI1489,58,2078.63,954.1,2,1,511,1,Lembrete com opção de renegociar,1
CLI1490,39,1212.25,1321.9,3,0,543,0,N/A,0
CLI1491,18,1304.33,1852.31,9,0,497,1,Lembrete com opção de renegociar,1
CLI1492,46,1412.99,2087.27,4,1,818,0,N/A,0
CLI1493,25,915.52,760.69,2,0,756,0,N/A,0
CLI1494,61,3208.91,1506.98,4,1,547,0,N/A,0
CLI1495,44,4658.34,1664.09,4,1,654,0,N/A,0
CLI1496,23,1710.08,2011.07,4,0,605,0,N/A,0
CLI1497,30,1731.12,803.52,4,0,532,0,N/A,0
CLI1498,19,2623.51,1571.22,2,0,581,1,Lembrete simples,1
CLI1499,39,3212.84,604.01,6,0,753,0,N/A,0
CLI1500,43,1915.2,385.85,12,0,803,0,N/A,0
CLI1501,43,2959.05,2690.06,3,0,540,1,Lembrete simples,0
CLI1502,39,2918.34,1825.01,4,0,673,0,N/A,0
CLI1503,56,2259.75,1049.27,12,1,796,1,Lembrete com opção de renegociar,0
CLI1504,61,1362.76,1027.04,9,0,779,0,N/A,0
CLI1505,55,1340.55,2273.1,2,0,817,0,N/A,0
CLI1506,43,3249.1,2590.75,2,0,381,1,Lembrete com opção de renegociar,0
CLI1507,22,1428.19,737.0,2,1,525,0,N/A,0
CLI1508,47,1507.45,1974.82,6,0,663,0,N/A,0
CLI1509,40,2390.94,1210.76,12,0,628,0,N/A,0
CLI1510,50,5777.15,2907.91,3,0,519,0,N/A,0
CLI1511,40,2661.73,617.38,4,1,409,0,N/A,0
CLI1512,52,3175.62,1777.19,3,1,487,0,N/A,0
CLI1513,28,1058.82,1867.28,12,1,472,1,Lembrete simples,1
CLI1514,31,2504.07,2661.64,4,0,348,1,Lembrete com opção de renegociar,1
CLI1515,53,900.0,2835.53,4,0,556,1,Lembrete simples,0
CLI1516,51,1353.24,2036.61,3,1,821,0,N/A,0
CLI1517,56,1035.11,2262.32,6,0,816,0,N/A,0
CLI1518,57,1812.88,2966.75,6,1,372,0,N/A,0
CLI1519,34,2378.49,1355.78,2,1,875,0,N/A,0
CLI1520,22,2735.64,2878.16,4,0,723,0,N/A,0
CLI1521,41,900.0,1595.13,9,1,661,0,N/A,0
CLI1522,18,3760.78,1676.96,6,0,691,0,N/A,0
CLI1523,36,1545.16,926.32,3,1,564,0,N/A,0
CLI1524,27,1807.34,1874.59,12,0,530,1,Lembrete simples,1
CLI1525,24,1131.94,1229.86,4,0,646,0,N/A,0
CLI1526,35,900.0,191.43,6,1,609,0,N/A,0
CLI1527,20,2797.06,2795.78,6,0,683,1,Lembrete com opção de renegociar,0
CLI1528,32,1742.32,820.64,3,0,584,1,Lembrete simples,0
CLI1529,64,2195.6,86.32,3,0,627,0,N/A,0
CLI1530,20,900.0,2144.83,12,0,603,0,N/A,0
CLI1531,49,1327.03,1983.12,6,0,472,1,Lembrete simples,0
CLI1532,26,1618.25,68.05,3,1,804,0,N/A,0
CLI1533,31,1519.69,305.04,3,0,724,0,N/A,0
CLI1534,46,3185.03,1792.56,12,1,960,0,N/A,0
CLI1535,59,900.0,2466.16,3,1,712,1,Lembrete simples,1
CLI1536,44,900.0,179.18,2,0,438,1,Lembrete simples,0
CLI1537,57,1433.15,1323.31,4,1,466,0,N/A,0
CLI1538,36,1765.54,2274.28,6,0,391,1,Lembrete com opção de renegociar,1
CLI1539,38,4149.12,865.69,2,1,612,0,N/A,0
CLI1540,41,1351.05,1504.58,2,1,526,0,N/A,0
CLI1541,46,1318.33,2720.53,2,0,631,1,Lembrete com opção de renegociar,0
CLI1542,46,2821.22,867.63,9,1,434,0,N/A,0
CLI1543,33,1994.06,816.33,4,0,737,0,N/A,0
CLI1544,63,2445.63,822.06,2,0,548,0,N/A,0
CLI1545,51,2091.11,1284.01,4,1,681,0,N/A,0
CLI1546,18,3702.53,2692.73,4,1,300,0,N/A,0
CLI1547,19,3118.89,1423.97,12,1,627,0,N/A,0
CLI1548,42,1728.72,763.62,3,0,714,0,N/A,0
CLI1549,57,3635.29,793.63,12,0,614,1,Lembrete com opção de renegociar,0
CLI1550,54,1540.93,2337.15,9,0,523,1,Lembrete simples,0
CLI1551,60,2676.13,2737.3,4,0,512,1,Lembrete com opção de renegociar,1
CLI1552,40,1994.53,2847.07,12,0,683,1,Lembrete simples,0
CLI1553,61,900.0,466.09,3,0,742,0,N/A,0
CLI1554,19,2240.52,108.3,3,1,434,0,N/A,0
CLI1555,38,1570.86,2312.92,4,0,619,0,N/A,0
CLI1556,26,2706.58,2710.82,4,1,493,1,Lembrete com opção de renegociar,1
CLI1557,41,3093.08,260.99,2,0,852,0,N/A,0
CLI1558,64,1292.15,1721.52,9,1,588,1,Lembrete simples,0
CLI1559,45,900.0,2803.18,6,1,536,1,Lembrete simples,0
CLI1560,53,2292.76,1628.0,3,1,469,1,Lembrete simples,0
CLI1561,32,1843.88,1334.17,2,0,543,0,N/A,0
CLI1562,40,1306.22,2933.1,3,0,553,1,Lembrete simples,0
CLI1563,43,2259.83,604.64,6,0,672,0,N/A,0
CLI1564,43,913.88,200.21,6,1,491,0,N/A,0
CLI1565,64,2219.37,2426.57,4,1,631,0,N/A,0
CLI1566,48,3716.98,2443.96,2,0,617,1,Lembrete com opção de renegociar,0
CLI1567,60,900.0,1944.44,4,1,541,1,Lembrete com opção de renegociar,0
CLI1568,30,900.0,1781.24,2,1,613,1,Lembrete simples,0
CLI1569,64,3103.94,2330.07,9,1,624,0,N/A,0
CLI1570,63,1736.88,65.54,2,1,650,0,N/A,0
CLI1571,41,2581.83,514.81,2,1,846,0,N/A,0
CLI1572,56,1529.29,91.93,6,0,864,0,N/A,0
CLI1573,42,2448.43,1809.06,9,1,844,0,N/A,0
CLI1574,40,956.47,2376.29,4,1,534,1,Lembrete simples,0
CLI1575,45,1129.56,2483.36,9,0,568,1,Lembrete simples,0
CLI1576,20,1046.82,1951.94,2,0,744,0,N/A,0
CLI1577,36,1929.17,2537.27,6,0,527,0,N/A,0
CLI1578,61,1384.31,2788.16,4,0,478,1,Lembrete com opção de renegociar,0
CLI1579,55,1359.74,85.72,12,1,612,0,N/A,0
CLI1580,35,1227.7,2378.43,3,1,425,1,Lembrete simples,1
CLI1581,35,7639.81,834.18,6,1,608,0,N/A,0
CLI1582,22,2459.62,1716.08,4,0,642,0,N/A,0
CLI1583,43,2871.52,229.89,6,0,839,0,N/A,0
CLI1584,47,2980.17,1401.11,12,0,591,1,Lembrete com opção de renegociar,0
CLI1585,29,1561.78,1720.96,2,0,686,0,N/A,0
CLI1586,55,953.55,1991.83,12,0,591,1,Lembrete com opção de renegociar,0
CLI1587,49,3042.52,2415.41,6,0,477,0,N/A,0
CLI1588,21,1021.68,350.67,4,0,524,1,Lembrete simples,0
CLI1589,48,4621.63,1981.21,3,0,1000,0,N/A,0
CLI1590,31,1387.61,1327.91,3,1,689,0,N/A,0
CLI1591,23,1310.81,1281.93,4,0,714,0,N/A,0
CLI1592,57,900.0,2041.37,12,0,550,1,Lembrete com opção de renegociar,0
CLI1593,18,2086.04,2632.55,2,0,467,1,Lembrete com opção de renegociar,1
CLI1594,60,3762.77,179.66,2,1,438,0,N/A,0
CLI1595,62,2367.44,2496.0,3,1,729,0,N/A,0
CLI1596,33,2040.13,2225.38,6,0,300,1,Lembrete simples,1
CLI1597,54,1788.99,2659.95,4,1,730,1,Lembrete com opção de renegociar,1
CLI1598,62,1105.46,1165.81,6,0,686,1,Lembrete simples,1
CLI1599,31,2033.24,802.32,2,0,544,0,N/A,0
CLI1600,50,2609.66,1329.26,6,0,731,0,N/A,0
CLI1601,50,2158.55,992.38,12,1,876,0,N/A,0
CLI1602,29,4443.06,2214.42,3,1,790,0,N/A,0
CLI1603,61,5055.05,340.77,2,0,300,1,Lembrete com opção de renegociar,0
CLI1604,19,7272.58,2552.91,2,0,445,0,N/A,0
CLI1605,50,2293.68,2836.44,12,0,540,0,N/A,0
CLI1606,57,1839.69,2506.98,2,1,632,0,N/A,0
CLI1607,24,1449.42,2505.96,12,1,598,1,Lembrete com opção de renegociar,0
CLI1608,21,1792.86,1998.6,3,1,540,0,N/A,0
CLI1609,56,1303.64,1956.87,4,0,517,0,N/A,0
CLI1610,48,3958.0,752.62,2,1,885,0,N/A,0
CLI1611,22,3375.48,567.08,6,0,596,0,N/A,0
CLI1612,45,2668.09,1559.7,6,1,522,0,N/A,0
CLI1613,58,900.0,2216.0,6,0,764,1,Lembrete com opção de renegociar,1
CLI1614,48,1905.33,2087.32,6,1,515,1,Lembrete com opção de renegociar,0
CLI1615,44,2867.52,1397.04,3,0,745,0,N/A,0
CLI1616,64,1643.4,2725.44,9,1,551,1,Lembrete com opção de renegociar,0
CLI1617,59,2059.88,1904.91,4,0,616,1,Lembrete com opção de renegociar,0
CLI1618,44,2695.02,2692.87,9,0,478,0,N/A,0
CLI1619,45,2646.85,1016.39,12,0,774,0,N/A,0
CLI1620,43,2994.54,1117.37,4,1,439,1,Lembrete com opção de renegociar,0
CLI1621,20,1711.87,2085.83,2,0,300,1,Lembrete com opção de renegociar,0
CLI1622,39,1371.79,760.15,2,1,605,0,N/A,0
CLI1623,62,5060.89,2449.63,12,1,533,0,N/A,0
CLI1624,38,3146.41,1340.12,3,0,351,0,N/A,0
CLI1625,28,1630.67,746.4,6,0,534,0,N/A,0
CLI1626,51,2255.3,1316.21,3,1,681,0,N/A,0
CLI1627,55,1358.33,1814.93,2,0,468,1,Lembrete com opção de renegociar,1
CLI1628,62,2015.67,2374.49,6,0,485,0,N/A,0
CLI1629,36,1361.72,1004.1,4,0,582,0,N/A,0
CLI1630,63,1472.47,1866.3,2,1,649,0,N/A,0
CLI1631,35,3345.03,2305.35,6,1,680,0,N/A,0
CLI1632,64,3164.09,2232.31,9,0,793,0,N/A,0
CLI1633,35,3072.67,385.21,2,0,592,0,N/A,0
CLI1634,52,2411.54,1379.37,6,0,374,0,N/A,0
CLI1635,26,2417.86,952.58,4,0,330,0,N/A,0
CLI1636,31,2024.68,2817.37,2,1,768,1,Lembrete simples,1
CLI1637,23,2308.88,2616.21,4,0,495,0,N/A,0
CLI1638,40,900.0,1056.44,3,0,775,0,N/A,0
CLI1639,58,1259.07,2582.65,3,0,395,1,Lembrete com opção de renegociar,1
CLI1640,36,3139.3,2273.2,6,1,642,0,N/A,0
CLI1641,19,2272.5,317.82,2,0,537,0,N/A,0
CLI1642,63,4087.71,755.48,2,0,596,0,N/A,0
CLI1643,50,2482.51,571.28,3,0,655,0,N/A,0
CLI1644,25,4130.48,130.66,4,0,608,0,N/A,0
CLI1645,22,1027.33,1875.55,3,1,331,1,Lembrete com opção de renegociar,0
CLI1646,47,900.0,1460.03,4,1,590,0,N/A,0
CLI1647,30,2623.25,1307.9,12,1,536,0,N/A,0
CLI1648,54,1275.29,183.04,2,1,636,0,N/A,0
CLI1649,18,2220.1,2738.82,9,1,532,1,Lembrete com opção de renegociar,0
CLI1650,55,3040.28,1297.74,3,0,561,0,N/A,0
CLI1651,20,3060.0,1586.39,12,1,539,1,Lembrete com opção de renegociar,0
CLI1652,39,1656.35,595.14,2,0,300,1,Lembrete com opção de renegociar,0
CLI1653,40,2590.64,1708.55,3,1,678,0,N/A,0
CLI1654,27,1009.28,1326.59,4,1,736,1,Lembrete com opção de renegociar,0
CLI1655,48,3474.27,2985.35,4,1,840,0,N/A,0
CLI1656,40,900.0,1645.25,2,0,672,1,Lembrete simples,1
CLI1657,41,2016.47,639.23,2,1,374,0,N/A,0
CLI1658,61,4947.89,395.05,2,0,740,0,N/A,0
CLI1659,28,1911.76,884.87,4,0,640,0,N/A,0
CLI1660,26,2111.86,1113.85,9,0,543,0,N/A,0
CLI1661,29,3613.96,2509.61,2,0,833,0,N/A,0
CLI1662,57,3919.39,1404.83,9,0,536,0,N/A,0
CLI1663,21,1350.14,750.9,9,1,484,1,Lembrete simples,0
CLI1664,25,1205.39,930.04,12,1,645,0,N/A,0
CLI1665,34,1107.87,2965.46,3,0,611,1,Lembrete com opção de renegociar,0
CLI1666,24,1303.57,2961.47,2,0,659,1,Lembrete simples,0
CLI1667,25,5057.42,109.07,9,0,417,0,N/A,0
CLI1668,31,1415.14,1855.31,2,0,413,1,Lembrete com opção de renegociar,1
CLI1669,34,3192.56,1642.6,4,1,796,0,N/A,0
CLI1670,20,3328.71,2493.05,4,0,604,0,N/A,0
CLI1671,57,3801.36,1798.67,6,1,615,0,N/A,0
CLI1672,22,3634.12,189.1,12,1,510,0,N/A,0
CLI1673,20,1381.03,1291.15,6,0,443,0,N/A,0
CLI1674,47,900.0,2940.09,3,0,580,1,Lembrete simples,1
CLI1675,55,1915.39,2598.81,4,0,546,0,N/A,0
CLI1676,31,1163.6,1498.99,2,1,777,0,N/A,0
CLI1677,42,5093.17,1400.62,3,0,493,0,N/A,0
CLI1678,18,1286.16,134.74,4,1,378,0,N/A,0
CLI1679,39,2577.51,1413.03,9,0,610,0,N/A,0
CLI1680,53,1169.98,408.87,2,0,564,1,Lembrete simples,0
CLI1681,61,1721.7,1307.21,6,0,811,0,N/A,0
CLI1682,44,1278.77,1047.8,6,1,755,0,N/A,0
CLI1683,47,1830.11,1556.75,3,1,610,0,N/A,0
CLI1684,33,5967.18,2382.19,2,0,450,0,N/A,0
CLI1685,22,3423.67,2642.99,3,0,477,1,Lembrete com opção de renegociar,1
CLI1686,39,1105.13,1010.61,6,0,544,1,Lembrete com opção de renegociar,1
CLI1687,64,2518.57,774.57,6,1,300,1,Lembrete com opção de renegociar,0
CLI1688,45,1697.04,2269.6,3,0,825,0,N/A,0
CLI1689,62,2140.14,1528.2,4,0,619,0,N/A,0
CLI1690,28,2814.24,470.67,6,0,300,1,Lembrete com opção de renegociar,0
CLI1691,45,1865.2,734.62,4,1,756,0,N/A,0
CLI1692,18,991.44,1225.8,3,0,798,0,N/A,0
CLI1693,39,2372.17,939.07,3,0,478,1,Lembrete com opção de renegociar,0
CLI1694,43,2220.55,2791.58,2,0,707,0,N/A,0
CLI1695,63,1106.94,1221.06,2,0,504,0,N/A,0
CLI1696,21,2156.56,263.96,9,0,757,0,N/A,0
CLI1697,23,2852.26,1804.81,2,0,371,0,N/A,0
CLI1698,18,1255.02,306.22,4,0,643,0,N/A,0
CLI1699,63,4214.94,2887.95,4,0,636,1,Lembrete com opção de renegociar,1
CLI1700,35,2374.5,991.4,2,1,789,0,N/A,0
CLI1701,28,3634.37,1277.53,3,0,407,1,Lembrete com opção de renegociar,0
CLI1702,57,3508.61,2503.21,4,1,537,0,N/A,0
CLI1703,41,2113.96,425.65,2,0,651,0,N/A,0
CLI1704,57,2402.84,988.24,4,0,903,0,N/A,0
CLI1705,20,1405.62,485.53,2,0,586,0,N/A,0
CLI1706,37,1117.61,2819.06,3,0,586,1,Lembrete simples,0
CLI1707,40,2394.73,643.45,4,0,431,0,N/A,0
CLI1708,30,1228.88,1612.45,3,0,542,0,N/A,0
CLI1709,42,1700.02,255.27,2,1,505,0,N/A,0
CLI1710,20,2912.05,807.19,9,1,745,0,N/A,0
CLI1711,25,2295.25,252.73,4,0,363,1,Lembrete simples,1
CLI1712,46,3143.29,1748.36,12,1,622,0,N/A,0
CLI1713,55,3590.13,2684.04,9,0,798,0,N/A,0
CLI1714,25,5716.91,1780.0,9,0,495,0,N/A,0
CLI1715,59,2798.18,839.02,4,1,369,0,N/A,0
CLI1716,53,2104.0,1706.69,6,0,521,1,Lembrete simples,1
CLI1717,50,1997.59,1082.32,4,0,560,0,N/A,0
CLI1718,43,6923.82,120.12,12,1,587,0,N/A,0
CLI1719,59,5428.15,1511.96,12,1,823,0,N/A,0
CLI1720,38,2148.66,129.84,12,1,478,1,Lembrete simples,0
CLI1721,23,2522.76,719.14,9,0,751,0,N/A,0
CLI1722,53,1040.55,521.92,9,1,683,1,Lembrete simples,1
CLI1723,33,937.41,2473.58,3,0,540,1,Lembrete com opção de renegociar,1
CLI1724,58,4392.03,586.44,2,0,645,0,N/A,0
CLI1725,22,1231.9,811.8,6,0,604,1,Lembrete simples,0
CLI1726,45,1304.55,1097.97,3,0,690,0,N/A,0
CLI1727,26,2797.08,1171.97,12,0,782,0,N/A,0
CLI1728,19,3449.34,1017.96,6,0,630,1,Lembrete com opção de renegociar,1
CLI1729,38,981.74,754.13,2,0,892,0,N/A,0
CLI1730,20,1820.54,552.34,9,0,300,1,Lembrete simples,1
CLI1731,64,2029.5,2042.83,12,0,592,0,N/A,0
CLI1732,61,2938.54,382.2,6,1,719,0,N/A,0
CLI1733,31,1995.23,1886.03,2,1,590,1,Lembrete simples,0
CLI1734,26,3220.66,1325.73,6,1,749,0,N/A,0
CLI1735,39,1898.46,1946.9,4,1,543,1,Lembrete simples,0
CLI1736,29,3438.08,375.99,6,1,615,0,N/A,0
CLI1737,18,2781.67,2361.65,12,1,607,0,N/A,0
CLI1738,28,2461.4,374.47,2,0,619,1,Lembrete simples,0
CLI1739,59,3417.63,2206.75,3,0,942,0,N/A,0
CLI1740,51,4564.04,2451.52,12,0,682,0,N/A,0
CLI1741,45,1603.37,1737.34,2,0,715,0,N/A,0
CLI1742,49,2033.87,770.37,9,1,538,0,N/A,0
CLI1743,29,3075.55,991.04,2,1,581,0,N/A,0
CLI1744,49,2939.27,97.62,3,1,510,0,N/A,0
CLI1745,54,1231.68,1603.85,9,1,521,0,N/A,0
CLI1746,51,2779.03,1388.84,4,1,482,0,N/A,0
CLI1747,27,1775.74,126.05,4,0,701,0,N/A,0
CLI1748,47,1070.95,2460.97,6,1,824,1,Lembrete simples,0
CLI1749,32,2620.18,1322.19,2,1,626,0,N/A,0
CLI1750,20,1909.66,2383.87,3,0,491,1,Lembrete com opção de renegociar,0
CLI1751,27,3278.92,1159.32,3,0,608,0,N/A,0
CLI1752,29,6103.8,2778.29,2,0,485,0,N/A,0
CLI1753,19,4419.22,1835.38,3,1,654,0,N/A,0
CLI1754,52,3102.91,2155.59,9,1,701,0,N/A,0
CLI1755,35,1234.32,2712.03,6,0,407,1,Lembrete com opção de renegociar,1
CLI1756,23,1252.03,2737.91,9,0,750,0,N/A,0
CLI1757,56,900.0,1338.03,6,1,438,1,Lembrete simples,0
CLI1758,49,4174.28,241.07,4,0,536,0,N/A,0
CLI1759,32,2367.54,1252.01,6,0,388,0,N/A,0
CLI1760,35,3147.45,1498.11,4,0,503,1,Lembrete simples,0
CLI1761,40,2004.42,193.27,6,1,812,0,N/A,0
CLI1762,34,1958.14,385.31,3,1,547,1,Lembrete simples,0
CLI1763,23,1598.44,2947.51,3,0,556,1,Lembrete simples,1
CLI1764,57,2407.02,2571.46,6,0,691,0,N/A,0
CLI1765,38,1292.96,528.51,6,1,300,1,Lembrete com opção de renegociar,0
CLI1766,20,1257.32,1934.04,4,1,722,1,Lembrete com opção de renegociar,1
CLI1767,40,1577.47,2088.91,3,0,763,0,N/A,0
CLI1768,22,900.0,1351.6,6,1,589,1,Lembrete simples,0
CLI1769,64,4851.96,2462.91,2,0,544,0,N/A,0
CLI1770,51,3410.24,1867.71,3,0,841,0,N/A,0
CLI1771,57,921.53,867.81,4,0,599,0,N/A,0
CLI1772,50,2501.88,940.09,2,0,775,0,N/A,0
CLI1773,42,979.66,73.65,9,1,546,0,N/A,0
CLI1774,28,1368.92,2718.5,2,1,665,1,Lembrete com opção de renegociar,0
CLI1775,34,1323.99,1734.38,6,1,521,1,Lembrete com opção de renegociar,1
CLI1776,59,4903.46,327.48,12,1,427,0,N/A,0
CLI1777,50,2354.57,1310.95,3,0,947,0,N/A,0
CLI1778,61,1260.41,801.67,3,0,561,0,N/A,0
CLI1779,37,2589.42,916.61,6,0,300,1,Lembrete com opção de renegociar,1
CLI1780,36,1954.81,83.75,2,0,582,0,N/A,0
CLI1781,62,1044.8,2943.82,4,1,514,1,Lembrete simples,0
CLI1782,36,1768.63,418.9,9,0,488,0,N/A,0
CLI1783,18,2841.48,142.37,2,0,815,0,N/A,0
CLI1784,30,3305.77,1374.01,4,0,521,0,N/A,0
CLI1785,63,1292.35,2595.97,2,1,680,1,Lembrete com opção de renegociar,0
CLI1786,39,1044.41,869.88,4,1,773,1,Lembrete com opção de renegociar,0
CLI1787,34,1673.52,1009.04,4,0,679,0,N/A,0
CLI1788,64,1256.8,2383.15,4,0,662,0,N/A,0
CLI1789,45,3197.2,2431.8,4,1,686,0,N/A,0
CLI1790,36,3328.47,1272.7,4,0,552,0,N/A,0
CLI1791,33,2768.16,245.92,2,0,618,0,N/A,0
CLI1792,60,2171.46,2799.11,6,0,300,0,N/A,0
CLI1793,46,2646.47,2105.7,6,0,557,0,N/A,0
CLI1794,37,1508.02,2098.33,9,0,596,1,Lembrete com opção de renegociar,1
CLI1795,28,4079.55,406.42,2,1,482,0,N/A,0
CLI1796,62,2709.56,423.95,4,0,678,0,N/A,0
CLI1797,61,2184.93,1305.37,6,0,805,0,N/A,0
CLI1798,43,1683.13,1189.8,4,1,646,0,N/A,0
CLI1799,18,1470.27,517.08,3,0,551,0,N/A,0
CLI1800,42,2937.34,1156.37,9,1,587,0,N/A,0
CLI1801,50,2786.37,1448.89,6,1,1000,0,N/A,0
CLI1802,57,1292.83,1426.09,4,0,687,0,N/A,0
CLI1803,32,1990.45,106.85,2,1,797,0,N/A,0
CLI1804,55,952.99,2985.54,9,1,721,1,Lembrete com opção de renegociar,1
CLI1805,57,3628.19,541.85,2,1,599,0,N/A,0
CLI1806,32,3400.42,1132.67,9,1,408,0,N/A,0
CLI1807,45,1412.8,2753.5,4,1,664,1,Lembrete simples,0
CLI1808,20,1499.96,2861.94,3,0,382,1,Lembrete com opção de renegociar,1
CLI1809,35,900.0,1065.78,2,1,563,1,Lembrete com opção de renegociar,0
CLI1810,19,900.0,760.58,6,1,900,0,N/A,0
CLI1811,64,3529.59,1132.51,6,0,584,0,N/A,0
CLI1812,20,1639.11,767.58,12,0,479,0,N/A,0
CLI1813,48,1013.14,2584.02,3,0,779,1,Lembrete simples,0
CLI1814,27,1193.85,294.76,2,1,800,0,N/A,0
CLI1815,41,2247.68,2296.38,3,0,561,1,Lembrete com opção de renegociar,1
CLI1816,22,1938.04,1527.58,3,1,311,0,N/A,0
CLI1817,63,2264.97,2778.99,4,0,654,0,N/A,0
CLI1818,62,2546.48,2276.11,2,0,574,0,N/A,0
CLI1819,54,1553.34,1373.8,2,0,901,0,N/A,0
CLI1820,48,1007.93,76.63,4,0,547,0,N/A,0
CLI1821,34,1852.42,2828.78,2,1,347,1,Lembrete simples,0
